No.,OPVO Code,Subject Area,Program Name (EN),University (EN),Level,Status,Reg. Date,RK Citizens (KZT),Foreign Currency,Foreign Citizens (KZT/USD),English (EPVO),Price Data Year,RK (USD equiv.),Foreign (KZT equiv.)
1,6B02100,Arts & Humanities,Fashion and Costume Design,Kazakh National Academy of Arts named after Temirbek Zhurgenov under the Ministry of Culture and Information of the Republic of Kazakhstan,Bachelor,Updated,19.11.2021,1144250,KZT,1144250,No,2025-2026,2543,1144250
2,7M07201,Engineering & Technology,Automation and Digitalisation of Metallurgical Processes,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,07.08.2019,1650000,KZT,2199960,Yes,2025-2026,3667,2199960
3,6B01515,Education,Geography (IP),Almaty Humanitarian Economic University,Bachelor,Updated,18.05.2025,700000,KZT,700000,No,2025-2026,1556,700000
4,6B07101,Engineering & Technology,Power Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,30.05.2022,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
5,6B04203,"Business, Economics & Law",Legal Support for Business (Corporate Lawyer),Turan,Bachelor,Updated,04.11.2019,1476600,KZT,1476600,No,2025-2026,3281,1476600
6,6B07103,Engineering & Technology,Automation and Robotics,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,28.07.2025,1222560,KZT,1869900,Yes,2025-2026,2717,1869900
7,6B07102,Engineering & Technology,Automation and Control,International Engineering and Technological University,Bachelor,Updated,12.06.2023,950000,KZT,1000000,Yes,2025-2026,2111,1000000
8,6B04202,"Business, Economics & Law",Business Law,Almaty Humanitarian Economic University,Bachelor,Updated,08.10.2019,700000,KZT,700000,No,2025-2026,1556,700000
9,7M07239,Engineering & Technology,Technology of Food Products,Kazakh University of Technology and Business named after K. Kulazhanov JSC,Master,Updated,07.11.2019,980000,KZT,980000,No,2025-2026,2178,980000
10,7M07241,Engineering & Technology,Food Safety,Kazakh University of Technology and Business named after K. Kulazhanov JSC,Master,Updated,04.11.2019,980000,KZT,980000,No,2025-2026,2178,980000
11,7M04101,"Business, Economics & Law",Management (2 years),ALMAU,Master,Updated,13.08.2019,2310000,KZT,2310000,No,2025-2026,5133,2310000
12,6B03101,Social Sciences & Journalism,International Relations,Kazakh anerican free univ,Bachelor,Updated,23.08.2019,620000,KZT,620000,No,2025-2026,1378,620000
13,7M04105,"Business, Economics & Law",MBA in Mining and Metallurgical Complex,Satbayev Kazakh National Research Technical University NPJSC,Master,Updated,21.05.2025,1500000,KZT,1600000,Yes,2025-2026,3333,1600000
14,6B04103,"Business, Economics & Law",Business Engineering,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,04.05.2024,905760,KZT,1700000,Yes,2025-2026,2013,1700000
15,6B01402,Education,Physical Culture and Sport (IP),Kazakh anerican free univ,Bachelor,Updated,29.06.2019,620000,KZT,620000,No,2025-2026,1378,620000
16,6B06105,Information & Communication Technologies,Software Engineering,Almaty University of Power Engineering and Telecommunications named after Gumarbek Daukeyev NPJSC,Bachelor,Updated,23.08.2019,1260000,KZT,1800000,Yes,2025-2026,2800,1800000
17,6B06202,Information & Communication Technologies,Smart Technologies,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,25.01.2022,1278060,KZT,1725381,No,2025-2026,2840,1725381
18,6B06139,Information & Communication Technologies,Software Engineering,UIB,Bachelor,Included,01.06.2026,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
19,6B06129,Information & Communication Technologies,Information Technologies,UIB,Bachelor,Included,02.06.2026,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
20,6B04129,"Business, Economics & Law",Art Management,UIB,Bachelor,Included,18.06.2026,1899000,KZT,1899000,Yes,2025-2026,4220,1899000
21,6B06102,Information & Communication Technologies,Computer Science,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,01.07.2019,1278060,KZT,1954980,Yes,2025-2026,2840,1954980
22,6B05403,Natural Sciences & Mathematics,"Mathematical Economics, Statistics and Data Analysis",Kazakh anerican free univ,Bachelor,Updated,04.08.2021,,,,No,,,
23,6B04103,"Business, Economics & Law",Business Administration in Entrepreneurship,ALMAU,Bachelor,Updated,21.08.2019,3200000,KZT,3200000,No,2025-2026,7111,3200000
24,6B03104,Social Sciences & Journalism,Psychology,ALMAU,Bachelor,Updated,02.09.2019,2600000,KZT,2600000,Yes,2025-2026,5778,2600000
25,6B05301,Natural Sciences & Mathematics,Chemistry,NJC «KazNWTTU,Bachelor,Updated,21.09.2019,1000000,KZT,1000000,No,2025-2026,2222,1000000
26,6B07109,Engineering & Technology,Engineering Physics and Materials Science,Satbayev Kazakh National Research Technical University NPJSC,Bachelor,Updated,18.09.2019,1111380,KZT,1700000,Yes,2025-2026,2470,1700000
27,6B01712,Education,Kazakh Language and Literature (IP),Pavlodar Pedagogical University named after Alkey Margulan NPJSC,Bachelor,Updated,24.05.2025,784000,KZT,1008060,Yes,2025-2026,1742,1008060
28,6B11401,"Services, Tourism & Transport",Social Work,NJC «KazNWTTU,Bachelor,Updated,01.07.2019,1000000,KZT,1000000,No,2025-2026,2222,1000000
